property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,agent_name,img_url,breadcrumbs,amenities,description
Bayut - SUP143685,For Rent,Villa,15 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '240,000'}","The Springs 2, The Springs, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '2 Baths', 'size': '2,456 sqft'}",Adam Todd,https://images.bayut.com/thumbnails/433466498-800x600.jpeg,"['Dubai Villas', 'The Springs', 'The Springs 2', 'Bayut - SUP143685']",[],"['Well Maintained | Near Pool And Park | 3Bed', '- 3 Bed + Study', '- Well Maintained', '- Back To Back', '- Balcony', '- Near Pool And Park', '- Agent: Adam Todd on ', 'Allsopp & Allsopp are pleased to bring this 3 bed villa in springs 2 to the market. This villa contains a study, a powder room and a low maintained garden as well as much more. The pool and park is a short walk away, and the meadows souk is also less than a 5 minute drive. ', 'Reference: SUP', 'Tenants interested in taking a managed property by Allsopp & Allsopp, call now to find out more. ', 'For further details or to arrange a viewing appointment please contact our Head Office on ', ', alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ', 'Please call Adam Todd on ', ' for more information or to arrange a viewing. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - 9781-TkKGJ0,For Rent,Apartment,27 July 2023,Furnished,"{'currency': 'AED', 'amount': '115,000'}","The Signature, Downtown Dubai, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '830 sqft'}",Polina  Kiseleva,https://images.bayut.com/thumbnails/418608553-800x600.jpeg,"['Dubai Apartments', 'Downtown Dubai', 'The Signature', 'Bayut - 9781-TkKGJ0']","['Furnished', 'Swimming Pool', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Furnished', 'Centrally Air-Conditioned', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Security Staff', 'CCTV Security']","['Magnate is proud to offer you this spacious and stunning 1-bedroom apartment for rent in DAMAC Maison Mall Street The Signature, Downtown Dubai;', 'Property Details:a', '- Fully Furnished', '- 1 Bedroom', '- BUA 830 Sq. ft. ', '- Close to Dubai Mall', '- Built-in Wardrobes', '- Built-in Kitchen appliances', '- Easy To View', 'Facilities and Amenities:', '24/7 Security', 'CCTV Monitoring', 'Business Lounge', 'Reception Desk', 'Gymnasium,', 'Spa and Sauna Room,', 'Aerobics and Health Club', 'Shopping Arcade', 'Landscaped Courtyard', 'Concierge', 'The Signature is a serviced hotel apartment next to The Dubai Mall, one of the largest shopping malls in the world, which has a wide array of restaurants and parks appropriate for children to play and enjoy. ', 'This luxurious residence offers spacious apartments in Downtown Dubai that provides elite service and luxury to its residents. ', 'The area surrounding the residence has everything a person needs just steps away to The Dubai Mall with its 1,200 shops, entertainment venues and leisure walking areas.']"
Bayut - 9797,For Rent,Villa,16 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '380,000'}","Villa Lantana 1, Villa Lantana, Dubai Science Park, Dubai","{'bedrooms': '4 Beds', 'bathrooms': '6 Baths', 'size': '4,211 sqft'}",Deepak Dahiya,https://images.bayut.com/thumbnails/434921318-800x600.jpeg,"['Dubai Villas', 'Dubai Science Park', 'Villa Lantana', 'Villa Lantana 1', 'Bayut - 9797']","['Balcony or Terrace', 'Parking Spaces', ': 2', 'Maids Room', 'Swimming Pool', 'Electricity Backup', 'Parking Spaces', ': 2', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Study Room', 'Balcony or Terrace', 'Completion Year', ': 2017', 'Flooring', 'First Aid Medical Center', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'ATM Facility', 'Maids Room', 'View', 'Freehold']","['DRE-R-9797', ""DREHomes Real Estate proudly presents this Chic 4 Bed+maid's Villa Lantana on the park with kitchen appliances & landscaped garden. "", 'Property Highlights :', '* Sgl row, detached Villa (Type 4D3)', '* 4 bed (all ensuite fitted wardrobes)', '* Fitted kitchen with 4 Door Fridge, Cooking range & Dishwasher', '* landscaped garden with auto irrigation system', '* Family lounge', '* Community Park at back & front of villa. ', '* Currently rented till Mid June 2024. Available for Move in after Mid June 2024. ', '* Rental asking : AED 380K Per annum', '* OPEN TO OFFERS', '* Viewings possible with 48 hrs advance notice. ', 'Interested I Call Deepak Dahiya NOW on ', '. ', ""This chic single row villa facing & backing off on the community park features a luxurious living / dining room, fitted kitchen with a guest room & maid's room on the Ground floor & 3 bedrooms with family lounge & 2 terrace on the 1st floor. Villa Lantana offers contemporary villas lux interiors at convenient location. "", 'Drehomes Real Estate', 'ORN: 652', 'Office 704/705 Citadel Tower, Business Bay, UAE', 'Hotline: ', 'Mobile No: ', 'Landline: ', 'Fax No: ', 'Email Id: ', 'Website: www. drehomes. com']"
Bayut - L-189787,For Rent,Apartment,25 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '250,000'}","Cluster F, The Clusters, Jumeirah Heights, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '2,710 sqft'}",,https://images.bayut.com/thumbnails/201762951-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Heights', 'The Clusters', 'Cluster F', 'Bayut - L-189787']",['Balcony or Terrace'],"['3 Beds Duplex | Lake View | Available Now', '- Jumeirah Heights ', '- 3 Bedrooms + Maids', '- 4 Bath', '- 3 Balconies', '- Lake View', '- Communal Pool & Park', '- Private Security', '- Parking', '- Ref: L', '- Agent Name: Callum Wallace on ', 'Allsopp & Allsopp are proud to market this three bed duplex apartment in the desirable complex of Jumeriah Heights. ', 'Upon entering the apartment you are greeted by a large, bright open plan reception/dining space. This leads onto a large terrace which overlook the lake. ', ' ', 'The kitchen, which includes some appliances, opens to the lounge and leads through to the utility & maids. ', 'This spacious 3 bed duplex apartment is immaculate throughout, offering plenty of natural light throughout. All bedrooms are of a good size, have fitted wardrobes, en-suite bathrooms and individual private balconies. ', 'Please call Callum Wallace on ', ' for more information. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - PRE-AHP-1BR-1,For Rent,Hotel Apartment,22 August 2023,Furnished,"{'currency': 'AED', 'amount': '210,000'}","Address Harbour Point, Dubai Creek Harbour, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '1 Bath', 'size': '802 sqft'}",Shabbir Arif,https://images.bayut.com/thumbnails/439654606-800x600.jpeg,"['Dubai Hotel Apartments', 'Dubai Creek Harbour', 'Address Harbour Point', 'Bayut - PRE-AHP-1BR-1']","['Furnished', 'Balcony or Terrace', 'Swimming Pool', 'Jacuzzi', 'Furnished', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Freehold']","['PROPERTY DETAILS:', '■ 1 Bedroom', '■ 1 Bathroom', '■ Built In Wardrobes', '■ Covered Parking', '■ Central Air-Con', 'AMENITIES:', '■ adult and children’s pools;', '■ a gym;', '■ a spa center;', '■ recreation areas;', '■ children’s play areas;', '■ private parking;', '■ high-speed elevators', '■ 24-hour reception and concierge services;', '■ the possibility of calling the service and cleaning;', '■ 24-hour security', 'Address Harbour Point is a new residential complex in the new district of Dubai Creek Harbour. The developer of the complex is Emaar Hospitality Group. The project comprises two towers located on the shore of the canal. There will be a total of 202 serviced apartments and hotel suites, including 1, 2 and 3-bedroom units. ', 'For more details, please contact us. ', 'Plush Real Estate commits excellence in every area of Real Estate Industry ensuring that your concern is our priority. We will guide you in Sales, Rentals, Buying, Leasing and will assist you the best at managing your property investments and property finance. ', 'We assure to give a real service of sincerity and integrity!', 'Best Service | Best Price | Residential Sales & Leasing | Commercial Sales & leasing |Property Management | Property Finance']"
Bayut - L-202876,For Rent,Villa,11 March 2023,Unfurnished,"{'currency': 'AED', 'amount': '400,000'}","Sidra 1, Sidra Villas, Dubai Hills Estate, Dubai","{'bedrooms': '4 Beds', 'bathrooms': '4 Baths', 'size': '3,237 sqft'}",Joshua Sturges,https://images.bayut.com/thumbnails/355441633-800x600.jpeg,"['Dubai Villas', 'Dubai Hills Estate', 'Sidra Villas', 'Sidra 1', 'Bayut - L-202876']","['Balcony or Terrace', 'Lawn or Garden']","['Ready To Move | E2 Type | Great Location', '- Maids Room', '- Double Garage', '- 4 Bedroom Villa', '- 3,237 Sq. Ft. BUA', '- Back to Back Unit ', '- Excellent Location', '- Reference: L', '- Agent: Josh Sturges on ', ', RERA BRN No. 58216', 'Property Reference: L', 'Allsopp and Allsopp are delighted to offer this beautiful 4 bedroom villa located within a lovely gated community. ', 'The ground floor consists of an open plan kitchen, living and dining area, the fourth bedroom, bathroom and maids room. ', 'On the first floor you will find a spacious family room and bedrooms 2 and 3 which are separated by a modern bathroom. The master bedroom is a fair size and is complete with not only an en-suite and a walk in closet but also a large balcony so you can sit, relax and enjoy the views over the community. ', 'Please call Josh Sturges on ', ' for more information or to arrange a viewing. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - L-217829,For Rent,Villa,17 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '460,000'}","Sidra 3, Sidra Villas, Dubai Hills Estate, Dubai","{'bedrooms': '4 Beds', 'bathrooms': '4 Baths', 'size': '3,533 sqft'}",Joshua Sturges,https://images.bayut.com/thumbnails/435419512-800x600.jpeg,"['Dubai Villas', 'Dubai Hills Estate', 'Sidra Villas', 'Sidra 3', 'Bayut - L-217829']",[],"['4 Bedrooms | Sidra 3 | Landscaped Garden', '- 4 Bedrooms', '- 4 Bathrooms', '- Maids Room', '- Unfurnished', '- Back to Back Unit', '- Communal Pool', '- Communal Gym', '- Close to Dubai Hills Park', '- Reference: L', '- Agent: Joshua Sturges ', 'Allsopp and Allsopp are proud to bring this stunning upgraded 4-bedroom Sidra Villa to market in the most sought-after community in Dubai, Dubai Hills Estate. ', 'This property will not be available for long. Please call Josh to arrange a viewing today. ', 'Finance is available on this property through Allsopp & Allsopp Mortgage Services. ', 'For further details or to arrange a viewing appointment please contact our Head Office on ', ', alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ', 'Please call Joshua Sturges on ', ' for more information. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - JVC-AA-SGNLVNG-STD-1,For Rent,Apartment,3 May 2023,Furnished,"{'currency': 'AED', 'amount': '55,000'}","Signature Livings North, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '398 sqft'}",Awais Abbasi,https://images.bayut.com/thumbnails/372791771-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 10', 'Signature Livings', 'Signature Livings North', 'Bayut - JVC-AA-SGNLVNG-STD-1']","['Furnished', 'Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Furnished', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Day Care Center', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this magnificent Studio Apartment in Signature Living. Property is spread over Area 398 sqft and has a modern outstanding finishing. ', 'PROPERTY FEATURES:', '■ Studio', '■ 1 Bathroom', '■ Balcony', '■ Allocated Parking Spaces', '■ Concierge services', '■ Built-in Wardrobes', '■ Parking Spaces', '■ Swimming Pool', '■ High Speed Elevators', '■ Central A/C', '■ Concierge service', '■ Fire and Fighting Alarm Systems', '■ PRICE DETAILS:', '■ Rent Price: 55,000% AED /-', '■ Cheques: 4/-', '■ Security Deposit: 10%', 'For further details or to arrange a viewing appointment please contact Awais Abbasi. ', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services.']"
Bayut - axc-3963624,For Rent,Apartment,12 July 2023,Furnished,"{'currency': 'AED', 'amount': '300,000'}","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '1,742 sqft'}",Mariana Dalvesco,https://images.bayut.com/thumbnails/408064811-800x600.jpeg,"['Dubai Apartments', 'Dubai Marina', '5242 Towers', '5242 Tower 1', 'Bayut - axc-3963624']","['Balcony or Terrace', 'Sauna', 'Steam Room', 'Kids Play Area']","['AX CAPITAL Real Estate is delighted to present this exceptional 3-bedroom apartment situated within the iconic 52|42 Towers developed by Emaar. ', 'Property Features:', '- Marina and Sea View ', '- Chiller Free ', '- Spacious ', '- Fully Furnished', '- 3Bedrooms + Maid', '- 4 Bathroom', '- 2 Balcony    ', '- 24/7 Security', '- 1742.46 sq. ft. ', '-  Reference: axc', ""52|42 is a luxurious residential development located in one of Dubai's most desirable areas. The project consists of two towers, one standing at 52 stories and the other at 42 stories, offering a total of 260 and 162 luxury residential units, respectively. Additionally, there are 44 apartments situated on the podium level. "", 'Emaar, the developer behind 52|42, aimed to create an iconic and distinctive design for the towers. Drawing inspiration from a nautical theme, the architectural form of the buildings resembles the sleek silhouette of a ship, with flowing aerodynamic lines. This unique design concept adds to the overall aesthetic appeal of the development. ', 'Alternatively, visit our website where you will find an extensive selection of properties available for sale and rent. ', 'Ask us about:', '- Off-Plan', '- Property Management', '- Interior Design (Ax Design) ', '- Exclusive Off-Plan ', '- Short Term Let']"
Bayut - axc-3963621,For Rent,Apartment,10 July 2023,Furnished,"{'currency': 'AED', 'amount': '210,000'}","5242 Tower 2, 5242 Towers, Dubai Marina, Dubai","{'bedrooms': '2 Beds', 'bathrooms': '2 Baths', 'size': '1,119 sqft'}",Mariana Dalvesco,https://images.bayut.com/thumbnails/406118246-800x600.jpeg,"['Dubai Apartments', 'Dubai Marina', '5242 Towers', '5242 Tower 2', 'Bayut - axc-3963621']",[],"['AX CAPITAL Real Estate is offering to the market this exceptional 2-bedroom apartment situated within the iconic 52|42 Towers developed by Emaar. ', 'Property Features:', '- Marina and Sea View ', '- Chiller Free ', '- Spacious ', '- Fully Furnished', '- 2 Bedrooms ', '- 2 Bathroom', '- 1 Balcony    ', '- 24/7 Security', '- 1119 sq. ft. ', '-  Reference:', ""52|42 is a luxurious residential development located in one of Dubai's most desirable areas. The project consists of two towers, one standing at 52 storeys and the other at 42 storeys, offering a total of 260 and 162 luxury residential units, respectively. Additionally, there are 44 apartments situated on the podium level. "", 'Emaar, the developer behind 52|42, aimed to create an iconic and distinctive design for the towers. Drawing inspiration from a nautical theme, the architectural form of the buildings resembles the sleek silhouette of a ship, with flowing aerodynamic lines. This unique design concept adds to the overall aesthetic appeal of the development. ', 'Alternatively, visit our website where you will find an extensive selection of properties available for sale and rent. ', 'Ask us about:', '- Off-Plan', '- Property Management', '- Interior Design (Ax Design) ', '- Exclusive Off-Plan ', '- Short Term Let']"
Bayut - JVC-AA-SIGLIVNG-STD,For Rent,Apartment,2 June 2023,Unfurnished,"{'currency': 'AED', 'amount': '42,000'}","Signature Livings South, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '400 sqft'}",Awais Abbasi,https://images.bayut.com/thumbnails/385736597-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 10', 'Signature Livings', 'Signature Livings South', 'Bayut - JVC-AA-SIGLIVNG-STD']","['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Swimming Pool', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this magnificent Studio Apartment in Signature Living. Property is spread over Area 400sqft and has a modern outstanding finishing. ', 'PROPERTY FEATURES:', '■ Studio', '■ 1 Bathroom', '■ Balcony', '■ Allocated Parking Spaces', '■ Concierge services', '■ Built-in Wardrobes', '■ Parking Spaces', '■ Swimming Pool', '■ High Speed Elevators', '■ Central A/C', '■ Concierge service', '■ Fire and Fighting Alarm Systems', '■ PRICE DETAILS:', '■ Rent Price: 42,000 AED /-', '■ Cheques: 4/-', '■ Security Deposit: 5%', 'For further details or to arrange a viewing appointment please contact Awais Abbasi. ', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services.']"
Bayut - JVC-AA-SIGLIVNG-1BR,For Rent,Apartment,8 May 2023,,"{'currency': 'AED', 'amount': '90,000'}","Signature Livings North, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '754 sqft'}",Awais Abbasi,https://images.bayut.com/thumbnails/374789251-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 10', 'Signature Livings', 'Signature Livings North', 'Bayut - JVC-AA-SIGLIVNG-1BR']","['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Swimming Pool', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom']","['Azco Real Estate is pleased to offer this magnificent 1 Bedroom apartment in Signature Livings. The property is spread over 754sq. ft. and has a modern outstanding finishing. ', 'PROPERTY FEATURES:. ', '■ 1 Bedroom Apartment', '■ 2 Bathroom', '■ Big Balcony', '■ Fitted Kitchen', '■ Built-in Wardrobes', '■ Parking Spaces', '■ Swimming Pool', '■ Gymnasium', '■ High Speed Elevators', '■ Central A/C', '■ Concierge service', '■ Playing Area', '■ Fire and Fighting Alarm Systems', '■ PRICE DETAILS:', '■ Price: AED 90,000/-', '■ Security Deposit: 5%', '■ Cheques: 4', '■ For further details or to arrange a viewing appointment please contact Mr. Awais Abbasi', 'visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services too.']"
Bayut - L-216424,For Rent,Villa,3 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '250,000'}","The Springs 4, The Springs, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '3 Baths', 'size': '2,762 sqft'}",,https://images.bayut.com/thumbnails/422623803-800x600.jpeg,"['Dubai Villas', 'The Springs', 'The Springs 4', 'Bayut - L-216424']",['Balcony or Terrace'],"['This Type 2M 3 bedroom villa is located in sought after Springs 4, has a pool and lake view and is available now. ', '- 3 Beds Plus Maids and Study', '- 2762 Sq. Ft. BUA', '- Lake and Pool View ', '- Open Plan Living', '- Agent: Samuel Adams  ', '- RERA Permit No. : 24470', '- RERA BRN No. 42819', 'As you enter the property into the entrance hall you follow through to the open plan living and dining area, leading round to the kitchen. Downstairs you also have a study, utility, maids room and toilet. Upstairs consists of a master bedroom with ensuite and balcony, a family room and 2 further bedrooms sharing a bathroom. ', 'Property Reference: L', 'Please call Agent: Samuel Adams  ', ' for more information or to arrange a viewing. ', 'Alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - BI-R-20-5198,For Rent,Apartment,24 August 2023,Furnished,"{'currency': 'AED', 'amount': '105,000'}","Bayz by Danube, Business Bay, Dubai","{'bedrooms': '2 Beds', 'bathrooms': '2 Baths', 'size': '1,147 sqft'}",Mehmood Pervez,https://images.bayut.com/thumbnails/441838574-800x600.jpeg,"['Dubai Apartments', 'Business Bay', 'Bayz by Danube', 'Bayut - BI-R-20-5198']","['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Centrally Air-Conditioned', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Barbeque Area', 'Laundry Room', 'Intercom']","['Banke International Properties LLC is happy to present this prime, ready to move in, canal view property on Marasi Drive, Business Bay. ', '<> Ready, 2 bed fully furnished', '<>Swanky swimming pool,', ""<>Party hall cum kid's play area,"", '<>Barbecue deck,', '<>Security', '<>Shared Gym', '<>health club with state-of-the art facilities ', '<>A minutes walk to the Dubai Canal', '<>29 floors of quality luxury', '<>Central A/C', 'Covered Parking', '<>Kitchen Appliances', '<>Shared Pool', '<>Magnificent view of the Down town', '<>Chic modular kitchens', '<>sauna and steam', '<>Furnished', '<>Balcony', '<>bathrooms exquisite Spanish tiles with Italian finish. ', 'Call Mehmood Pervez on ', ' / ', ' or visit www. banke. ae for further details. ', 'Company name: Banke International Properties LLC', 'RERA ORN: 12108 ', 'Address: 415 Emarat Atrium Building, Sheikh Zayed Road, Dubai, UAE ', 'Office phone no: ', 'Primary email: ', 'Website: www. banke. ae', 'Company Profile: A real estate firm specializing in investment sales and leasing of both commercial and residential properties. We also offer property management services across Dubai.']"
Bayut - axc-3965044,For Rent,Apartment,21 August 2023,Furnished,"{'currency': 'AED', 'amount': '40,000'}","Royal Residence 2, Royal Residence, Dubai Sports City, Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '434 sqft'}",Muhammad Siddiqi,https://images.bayut.com/thumbnails/438168832-800x600.jpeg,"['Dubai Apartments', 'Dubai Sports City', 'Royal Residence', 'Royal Residence 2', 'Bayut - axc-3965044']","['Balcony or Terrace', 'Parking Spaces', 'View', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Barbeque Area', 'View']","['AX CAPITAL Real Estate is offering to the market this studio apartment, located in Royal Residence 2, Dubai Sports City. ', 'Unit Details:', '- Rented till December 2023', '- Kitchen: Open and Fully Fitted', '- 1 Bathroom', '- BUA: 434.00 sq ft. ', '- 1 Parking', '- Furnished', 'Features:', '- Balcony', '- Public transport', '- Security', '- Public parking', '- Restaurants', '- Mosque', ""- Children's play area"", '- Property Reference no. axc', 'Dubai Sports City is a neighborhood that packs in a lot in terms of lifestyle and residential options, at a wallet-friendly price. ', 'Royal Residence is a gleaming opportunity for dwelling and investment due to its idyllic setting and impressive features and amenities. \xa0', 'Royale Residence has a convenient location in Dubai Sports City. \xa0', 'Along with the promise of a healthier and more stylish lifestyle, it provides the residents with spectacular views of a beautifully manicured golf course, fantastic parks, and sports academies. ', 'Sports City is one of the freehold areas in Dubai. \xa0', 'There are plenty of amenities within walking distance, and if that’s not enough, the Mall of the Emirates is just 15 minutes away. ', 'Alternatively, visit our website, where you will find an extensive selection of properties available for sale and rent. ', 'Ask us about:', '- Off-Plan', '- Property Management', '- Interior Design (AX Design)\xa0', '- Exclusive Off-Plan\xa0', '- Short Term Let']"
Bayut - TB-R-21-0103,For Rent,Apartment,2 August 2023,Furnished,"{'currency': 'AED', 'amount': '85,000'}","Prime Views, Meydan Avenue, Meydan City, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '833 sqft'}",Sabir Mullick,https://images.bayut.com/thumbnails/445868564-800x600.jpeg,"['Dubai Apartments', 'Meydan City', 'Meydan Avenue', 'Prime Views', 'Bayut - TB-R-21-0103']","['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Centrally Air-Conditioned', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom']","['Luxury Living at Prime Views: Furnished 1 Bedroom Apartment with Breathtaking Views. ', 'Description:', 'Welcome to Prime Views at Meydan, where luxury living blends harmoniously with a vibrant community charm. ', ' A prestigious development by Tabani Real Estate offers an exquisite collection of fully furnished apartments for lease. ', 'Located just moments away from Meydan Avenue, Meydan Racecourse, and the iconic Meydan Hotel', 'Prime Views boasts a strategic location that ensures unparalleled convenience and accessibility. ', 'Key Features:', '>Spacious living hall for your comfort and relaxation. ', '>Ensuite bedrooms, offering privacy and luxury combined. ', '>Terrace balcony with a captivating pool view, perfect for tranquil moments. ', '>Semi-closed kitchen with modern amenities for a delightful culinary experience. ', '>Equipped with brand white goods, ensuring convenience and quality. ', '>Allocated covered parking for hassle-free convenience. ', '>Pool & Gym Facilities, inviting you to unwind and stay active. ', '>24/7 security, providing a safe and secure environment. ', '>Spinneys shopping mall nearby, making daily errands a breeze. ', ""Don't miss the chance to be a part of this unparalleled living experience at Prime Views. "", 'Contact us now to schedule a viewing and secure your dream home today.']"
